Name	Label	LabID	Species	Haplogroup	Description	Age	Location	Reference
KX176799	KX176799 | 10261 | Mammuthus primigenius (Clade 1 (Eurasia)) | Yakutia, Lena Delta, SE, Bykovskiy Peninsula, Mamontovy Khayata ~39ky	10261	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)	~39ky	Yakutia, Lena Delta, SE, Bykovskiy Peninsula, Mamontovy Khayata	
KX176803	KX176803 | 11028 | Mammuthus primigenius (Clade 1 (Eurasia)) | New Siberian Islands: Bol. Lyakhovsky Isl, ~42ky	11028	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)	~42ky	New Siberian Islands: Bol. Lyakhovsky Isl,	
KX176753	KX176753 | SP1021 | Mammuthus primigenius (Clade 1 (Eurasia)) | Bykovsky Peninsula ~33ky	SP1021	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)	~33ky	Bykovsky Peninsula	
KX176797	KX176797 | 10244 | Mammuthus primigenius (Clade 1 (Eurasia)) | Yakutia, Lena Delta, SE, Bykovskiy Peninsula, Mamontovy Khayata ~35ky	10244	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)	~35ky	Yakutia, Lena Delta, SE, Bykovskiy Peninsula, Mamontovy Khayata	
NC007596	NC007596 | NC007596 | Mammuthus primigenius (Clade 1 (Eurasia)) | Berelekh, Yakutia, Siberia 	NC007596	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)		Berelekh, Yakutia, Siberia	
MG334272	MG334272 | L158 | Mammuthus primigenius (Clade 1 (Eurasia)) | Pineyveem River, Chukotka ~15ky	L158	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)	~15ky	Pineyveem River, Chukotka	
PV139015	PV139015 | TB90 | Mammuthus primigenius (Clade 1 (Eurasia)) | Yakutia, Lena Delta, SE, Bykovskiy Peninsula, Mamontovy Khayata ~33ky	TB90	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)	~33ky	Yakutia, Lena Delta, SE, Bykovskiy Peninsula, Mamontovy Khayata	
MG334273	MG334273 | L164 | Mammuthus primigenius (Clade 1 (Eurasia)) | Pineyveem River, Chukotka ~17ky	L164	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)	~17ky	Pineyveem River, Chukotka	
EU153446	EU153446 | GM15 | Mammuthus primigenius (Clade 1 (Eurasia)) | Ayon Island, Russia ~17ky	GM15	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)	~17ky	Ayon Island, Russia	
EU153445	EU153445 | GM13 | Mammuthus primigenius (Clade 1 (Eurasia)) | Bykovskiy Peninsula, Mamontovy y Khayata, Lena Delta, N-E Siberia ~41ky	GM13	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)	~41ky	Bykovskiy Peninsula, Mamontovy y Khayata, Lena Delta, N-E Siberia	
KX176765	KX176765 | SP741 | Mammuthus primigenius (Clade 1 (Eurasia)) | Shestakova, Russia 	SP741	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)		Shestakova, Russia	
KX176792	KX176792 | SP2415 | Mammuthus primigenius (Clade 1 (Eurasia)) | Secrets Cave, M. Ural ~15ky	SP2415	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)	~15ky	Secrets Cave, M. Ural	
KX176766	KX176766 | SP744 | Mammuthus primigenius (Clade 1 (Eurasia)) | Kochegur (near Shestakova, Russia) 	SP744	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)		Kochegur (near Shestakova, Russia)	
KX176752	KX176752 | 10719 | Mammuthus primigenius (Clade 1 (Eurasia)) | Yakutia, Lena Delta, SW, Olenyok Channel near Nagym ~35ky	10719	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)	~35ky	Yakutia, Lena Delta, SW, Olenyok Channel near Nagym	
KX176750	KX176750 | 10643 | Mammuthus primigenius (Clade 1 (Eurasia)) | Wrangel Island ~30ky	10643	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)	~30ky	Wrangel Island	
PV138998	PV138998 | MD177 | Mammuthus primigenius (Clade 1 (Eurasia)) | Allaikha river, section ANV-1 >47ky	MD177	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)	>47ky	Allaikha river, section ANV-1	
MF579949	MF579949 | JK2802 | Mammuthus primigenius (Clade 1 (Eurasia)) | Kraków Spadzista, PL 	JK2802	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)		Kraków Spadzista, PL	
MF579950	MF579950 | JK2803 | Mammuthus primigenius (Clade 1 (Eurasia)) | Kraków Spadzista, PL ~30ky	JK2803	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)	~30ky	Kraków Spadzista, PL	
MF579947	MF579947 | JK2790 | Mammuthus primigenius (Clade 1 (Eurasia)) | Kraków Spadzista, PL ~28ky	JK2790	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)	~28ky	Kraków Spadzista, PL	
MF579948	MF579948 | JK2796 | Mammuthus primigenius (Clade 1 (Eurasia)) | Kraków Spadzista, PL ~28ky	JK2796	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)	~28ky	Kraków Spadzista, PL	
KX176789	KX176789 | SP2401 | Mammuthus primigenius (Clade 1 (Eurasia)) | Kostenki (Kostyonki?) ~37ky	SP2401	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)	~37ky	Kostenki (Kostyonki?)	
PV139014	PV139014 | TB182 | Mammuthus primigenius (Clade 1 (Eurasia)) | Khatanga River Mouth ~47ky	TB182	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)	~47ky	Khatanga River Mouth	
KX027489	KX027489 | SEP01 | Mammuthus primigenius (Clade 1 (Eurasia)) | Taimyr Peninsula 	SEP01	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)		Taimyr Peninsula	
KX176801	KX176801 | 10659 | Mammuthus primigenius (Clade 1 (Eurasia)) | New Siberian Islands: Bol. Lyakhovsky Isl, S.coast W of Zimovye R mouth ~37ky	10659	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)	~37ky	New Siberian Islands: Bol. Lyakhovsky Isl, S.coast W of Zimovye R mouth	
PV139013	PV139013 | TB162 | Mammuthus primigenius (Clade 1 (Eurasia)) | New Siberian Islands: Bol. Lyakhovsky Isl, S.coast W of Zimovye R mouth ~38ky	TB162	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)	~38ky	New Siberian Islands: Bol. Lyakhovsky Isl, S.coast W of Zimovye R mouth	
KX176759	KX176759 | SP1422 | Mammuthus primigenius (Clade 1 (Eurasia)) | Bolshoy Lyakhovskiy Isl., Siberia 	SP1422	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)		Bolshoy Lyakhovskiy Isl., Siberia	
