Name	Label	LabID	Species	Haplogroup	Description	Age	Location	Reference
DQ316067.1	DQ316067 | Rogaev | Mammuthus primigenius (Clade 1, Eurasia) | Chukotka, Russia ~37ky	Rogaev	Mammuthus primigenius	Clade 1, Eurasia	Woolly mammoth (extinct)	~37ky	Chukotka, Russia	
PV138980.1	PV138980 | L088 | Mammuthus primigenius (Clade 1, Eurasia) | Chukotka, Russia >60ky	L088	Mammuthus primigenius	Clade 1, Eurasia	Woolly mammoth (extinct)	>60ky	Chukotka, Russia	
PV138979.1	PV138979 | L082 | Mammuthus primigenius (Clade 1, Eurasia) | Chukotka, Russia ~24ky	L082	Mammuthus primigenius	Clade 1, Eurasia	Woolly mammoth (extinct)	~24ky	Chukotka, Russia	
KX027502.1	KX027502 | SSED28 | Mammuthus primigenius (Clade 1, North America) | Big Bone Lick, USA ~17ky	SSED28	Mammuthus primigenius	Clade 1, North America	Woolly mammoth (extinct)	~17ky	Big Bone Lick, USA	
KX027545.1	KX027545 | SVEP08 | Mammuthus primigenius (Clade 1, North America) | Toledo, USA 	SVEP08	Mammuthus primigenius	Clade 1, North America	Woolly mammoth (extinct)		Toledo, USA	
KX027506.1	KX027506 | SVEP82 | Mammuthus primigenius (Clade 1, North America) | Chittenango, USA ~13ky	SVEP82	Mammuthus primigenius	Clade 1, North America	Woolly mammoth (extinct)	~13ky	Chittenango, USA	
KX027528.1	KX027528 | EEP41 | Mammuthus primigenius (Clade 1, North America) | New Bedford, USA 	EEP41	Mammuthus primigenius	Clade 1, North America	Woolly mammoth (extinct)		New Bedford, USA	
KX027567.1	KX027567 | EID05 | Mammuthus primigenius (Clade 1, North America) | Yukon, Canada ~33ky	EID05	Mammuthus primigenius	Clade 1, North America	Woolly mammoth (extinct)	~33ky	Yukon, Canada	
KX027566.1	KX027566 | EID07 | Mammuthus primigenius (Clade 1, North America) | Yukon, Canada 	EID07	Mammuthus primigenius	Clade 1, North America	Woolly mammoth (extinct)		Yukon, Canada	
KX027521.1	KX027521 | EID11 | Mammuthus primigenius (Clade 1, North America) | Alaska, USA 	EID11	Mammuthus primigenius	Clade 1, North America	Woolly mammoth (extinct)		Alaska, USA	
KX027546.1	KX027546 | SVEP1679 | Mammuthus primigenius (Clade 1, North America) | Trenton, USA ~38ky	SVEP1679	Mammuthus primigenius	Clade 1, North America	Woolly mammoth (extinct)	~38ky	Trenton, USA	
